hotel,is_canceled,lead_time,arrival_month_year,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel
Resort Hotel,0,342,15-Jul,2015,July,27,1,0,0,2,0,0,BB,PRT,Direct,Direct
Resort Hotel,0,737,15-Jul,2015,July,27,1,0,0,2,0,0,BB,PRT,Direct,Direct
Resort Hotel,0,7,15-Jul,2015,July,27,1,0,1,1,0,0,BB,GBR,Direct,Direct
Resort Hotel,0,13,15-Jul,2015,July,27,1,0,1,1,0,0,BB,GBR,Corporate,Corporate
Resort Hotel,0,14,15-Jul,2015,July,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO
Resort Hotel,0,14,15-Jul,2015,July,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO
Resort Hotel,0,0,15-Jul,2015,July,27,1,0,2,2,0,0,BB,PRT,Direct,Direct
Resort Hotel,0,9,15-Jul,2015,July,27,1,0,2,2,0,0,FB,PRT,Direct,Direct
Resort Hotel,1,85,15-Jul,2015,July,27,1,0,3,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,1,75,15-Jul,2015,July,27,1,0,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO
Resort Hotel,1,23,15-Jul,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,35,15-Jul,2015,July,27,1,0,4,2,0,0,HB,PRT,Online TA,TA/TO
Resort Hotel,0,68,15-Jul,2015,July,27,1,0,4,2,0,0,BB,USA,Online TA,TA/TO
Resort Hotel,0,18,15-Jul,2015,July,27,1,0,4,2,1,0,HB,ESP,Online TA,TA/TO
Resort Hotel,0,37,15-Jul,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,68,15-Jul,2015,July,27,1,0,4,2,0,0,BB,IRL,Online TA,TA/TO
Resort Hotel,0,37,15-Jul,2015,July,27,1,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO
Resort Hotel,0,12,15-Jul,2015,July,27,1,0,1,2,0,0,BB,IRL,Online TA,TA/TO
Resort Hotel,0,0,15-Jul,2015,July,27,1,0,1,2,0,0,BB,FRA,Corporate,Corporate
Resort Hotel,0,7,15-Jul,2015,July,27,1,0,4,2,0,0,BB,GBR,Direct,Direct
Resort Hotel,0,37,15-Jul,2015,July,27,1,1,4,1,0,0,BB,GBR,Online TA,TA/TO
Resort Hotel,0,72,15-Jul,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct
Resort Hotel,0,72,15-Jul,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct
Resort Hotel,0,72,15-Jul,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct
Resort Hotel,0,127,15-Jul,2015,July,27,1,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO
Resort Hotel,0,78,15-Jul,2015,July,27,1,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO
Resort Hotel,0,48,15-Jul,2015,July,27,1,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO
Resort Hotel,1,60,15-Jul,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,77,15-Jul,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,99,15-Jul,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,118,15-Jul,2015,July,27,1,4,10,1,0,0,BB,NULL,Direct,Direct
Resort Hotel,0,95,15-Jul,2015,July,27,1,4,11,2,0,0,BB,GBR,Offline TA/TO,TA/TO
Resort Hotel,1,96,15-Jul,2015,July,27,1,2,8,2,0,0,BB,PRT,Direct,Direct
Resort Hotel,0,69,15-Jul,2015,July,27,2,2,4,2,0,0,BB,IRL,Offline TA/TO,TA/TO
Resort Hotel,1,45,15-Jul,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,1,40,15-Jul,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,15,15-Jul,2015,July,27,2,1,3,2,0,0,BB,ESP,Online TA,TA/TO
Resort Hotel,0,36,15-Jul,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,1,43,15-Jul,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,70,15-Jul,2015,July,27,2,2,3,2,0,0,HB,ROU,Direct,Direct
Resort Hotel,1,45,15-Jul,2015,July,27,2,2,3,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,45,15-Jul,2015,July,27,2,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO
Resort Hotel,0,16,15-Jul,2015,July,27,2,2,3,2,0,0,BB,ESP,Direct,Direct
Resort Hotel,0,70,15-Jul,2015,July,27,2,2,3,2,0,0,HB,ROU,Direct,Direct
Resort Hotel,0,107,15-Jul,2015,July,27,2,2,5,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,1,47,15-Jul,2015,July,27,2,2,5,2,2,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,96,15-Jul,2015,July,27,2,2,5,2,0,0,BB,ESP,Offline TA/TO,TA/TO
Resort Hotel,0,113,15-Jul,2015,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO
Resort Hotel,0,90,15-Jul,2015,July,27,2,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO
Resort Hotel,0,50,15-Jul,2015,July,27,2,2,5,2,0,0,HB,IRL,Online TA,TA/TO
Resort Hotel,0,113,15-Jul,2015,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO
Resort Hotel,0,93,15-Jul,2015,July,27,2,3,8,2,0,0,BB,IRL,Offline TA/TO,TA/TO
Resort Hotel,0,76,15-Jul,2015,July,27,2,4,10,2,0,0,BB,OMN,Offline TA/TO,TA/TO
Resort Hotel,0,3,15-Jul,2015,July,27,2,0,1,2,0,0,BB,ESP,Online TA,TA/TO
Resort Hotel,0,1,15-Jul,2015,July,27,2,0,1,2,0,0,BB,ARG,Online TA,TA/TO
Resort Hotel,0,1,15-Jul,2015,July,27,2,0,1,2,2,0,BB,ESP,Direct,Direct
Resort Hotel,0,0,15-Jul,2015,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct
Resort Hotel,0,0,15-Jul,2015,July,27,2,0,1,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,0,15-Jul,2015,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct
Resort Hotel,0,14,15-Jul,2015,July,27,2,0,2,2,0,0,BB,USA,Online TA,TA/TO
Resort Hotel,0,10,15-Jul,2015,July,27,2,0,2,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,5,15-Jul,2015,July,27,2,0,2,2,0,0,BB,IRL,Online TA,TA/TO
Resort Hotel,0,17,15-Jul,2015,July,27,2,0,3,2,0,0,BB,ESP,Direct,Direct
Resort Hotel,0,93,15-Jul,2015,July,27,2,0,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO
Resort Hotel,1,3,15-Jul,2015,July,27,2,0,3,2,0,0,HB,PRT,Online TA,TA/TO
Resort Hotel,0,10,15-Jul,2015,July,27,3,0,2,2,2,0,BB,USA,Online TA,TA/TO
Resort Hotel,0,3,15-Jul,2015,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO
Resort Hotel,0,51,15-Jul,2015,July,27,3,0,2,2,0,0,BB,POL,Online TA,TA/TO
Resort Hotel,1,71,15-Jul,2015,July,27,3,0,2,3,0,0,BB,PRT,Offline TA/TO,TA/TO
Resort Hotel,1,63,15-Jul,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,1,62,15-Jul,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,1,101,15-Jul,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,2,15-Jul,2015,July,27,3,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO
Resort Hotel,0,15,15-Jul,2015,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO
Resort Hotel,1,51,15-Jul,2015,July,27,3,0,2,3,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,3,15-Jul,2015,July,27,3,1,2,2,0,0,BB,ESP,Online TA,TA/TO
Resort Hotel,1,48,15-Jul,2015,July,27,3,1,2,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,2,15-Jul,2015,July,27,3,2,2,1,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,72,15-Jul,2015,July,27,3,2,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO
Resort Hotel,0,81,15-Jul,2015,July,27,3,2,6,3,0,0,BB,PRT,Offline TA/TO,TA/TO
Resort Hotel,0,99,15-Jul,2015,July,27,3,2,7,2,0,0,BB,FRA,Offline TA/TO,TA/TO
Resort Hotel,1,368,15-Jul,2015,July,27,3,3,7,2,0,0,BB,PRT,Offline TA/TO,TA/TO
Resort Hotel,0,364,15-Jul,2015,July,27,3,3,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO
Resort Hotel,1,81,15-Jul,2015,July,27,3,3,7,2,0,0,HB,PRT,Direct,Direct
Resort Hotel,0,99,15-Jul,2015,July,27,3,3,7,2,0,0,HB,GBR,Offline TA/TO,TA/TO
Resort Hotel,0,324,15-Jul,2015,July,27,3,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO
Resort Hotel,0,69,15-Jul,2015,July,27,3,4,10,2,0,0,BB,GBR,Online TA,TA/TO
Resort Hotel,1,79,15-Jul,2015,July,27,3,6,15,2,1,0,BB,PRT,Offline TA/TO,TA/TO
Resort Hotel,0,12,15-Jul,2015,July,27,3,0,1,2,0,0,BB,GBR,Online TA,TA/TO
Resort Hotel,0,9,15-Jul,2015,July,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,1,15-Jul,2015,July,27,3,0,1,2,0,0,BB,ESP,Online TA,TA/TO
Resort Hotel,0,21,15-Jul,2015,July,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,9,15-Jul,2015,July,27,3,0,1,2,0,0,BB,USA,Online TA,TA/TO
Resort Hotel,0,109,15-Jul,2015,July,27,3,0,1,2,0,0,BB,BEL,Online TA,TA/TO
Resort Hotel,1,109,15-Jul,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,1,72,15-Jul,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,1,63,15-Jul,2015,July,27,3,2,5,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,63,15-Jul,2015,July,27,3,2,5,3,0,0,HB,ESP,Offline TA/TO,TA/TO
Resort Hotel,0,101,15-Jul,2015,July,27,3,2,5,2,1,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,102,15-Jul,2015,July,27,3,2,5,2,0,0,BB,DEU,Direct,Direct
Resort Hotel,0,4,15-Jul,2015,July,27,4,2,1,2,0,0,BB,ESP,Direct,Direct
Resort Hotel,0,98,15-Jul,2015,July,27,4,2,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO
Resort Hotel,0,92,15-Jul,2015,July,27,4,2,4,1,2,0,BB,FRA,Offline TA/TO,TA/TO
Resort Hotel,0,95,15-Jul,2015,July,27,4,2,4,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,102,15-Jul,2015,July,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO
